URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Name,Elementary School Score (out of 10),Middle School Name,Middle School Score (out of 10),High School Name,High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Est. Monthly Payment,Time on Redfin,Year Built,Property Type,Style,HOA Dues,Lot Size,Garage Spaces,Has Pool,Floor Type,Heat Type,Cool Type,Tax Amount,Has Patio
https://www.redfin.com/NV/Las-Vegas/3372-Death-Valley-Dr-89122/home/29418477,10,43,43,Hal Smith Elementary School,2,Kathleen & Tim Harney Middle School,4,Chaparral High School,2,"3372 Death Valley Dr,Las Vegas,NV89122","$225,000 ",2,2,"1,344",,,1982,"Residential, Manufactured Home",One Story,$70/month,"4,356 Sq. Ft.",1,Community,"Carpet, Laminate","Central, Gas","Central Air, Electric",$736 ,"Covered, Patio, Porch"
https://www.redfin.com/NV/Las-Vegas/3386-Ewa-Beach-Dr-89122/unit-762/home/29418549,10,43,43,Hal Smith Elementary School,2,Kathleen & Tim Harney Middle School,4,Chaparral High School,2,"3386 Ewa Beach Dr #762,Las Vegas,NV89122","$249,995 ",3,2,"1,436",,,1980,"Residential, Manufactured Home",One Story,$72/month,"5,227 Sq. Ft.",1,Community,Luxury Vinyl Plank,"Central, Gas","Attic Fan, Electric",$656 ,
https://www.redfin.com/NV/Las-Vegas/4295-Chafer-Dr-89121/home/29420197,38,45,57,George E Harris Elementary School,4,C W Woodbury Middle School,2,Chaparral High School,2,"4295 Chafer Dr,Las Vegas,NV89121","$325,000 ",4,2,"1,641",,,1975,"Residential, Single Family Residence",One Story,,"6,098 Sq. Ft.",2,,"Carpet, Tile","Central, Gas","Central Air, Electric",$962 ,
https://www.redfin.com/NV/Las-Vegas/3712-Garden-South-Dr-89121/home/29423126,52,42,50,George E Harris Elementary School,4,C W Woodbury Middle School,2,Chaparral High School,2,"3712 Garden South Dr,Las Vegas,NV89121","$255,000 ",3,1.5,"1,380",,,1972,"Residential, Townhouse",Two Story,$155/month,"1,742 Sq. Ft.",2,Community,Laminate,"Central, Electric","Central Air, Electric",$652 ,"Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/3543-Legendary-Dr-89121/home/29423277,52,41,46,George E Harris Elementary School,4,C W Woodbury Middle School,2,Chaparral High School,2,"3543 Legendary Dr,Las Vegas,NV89121","$340,000 ",3,2,"1,790",,,1972,"Residential, Townhouse",Two Story,$200/month,"3,049 Sq. Ft.",2,Community,"Carpet, Tile","Central, Gas","Central Air, Electric",$859 ,"Balcony, Patio"
https://www.redfin.com/NV/Las-Vegas/3546-Bounty-Ave-89121/home/29423334,61,41,49,George E Harris Elementary School,4,C W Woodbury Middle School,2,Chaparral High School,2,"3546 Bounty Ave,Las Vegas,NV89121","$200,000 ",3,2,"1,362",,,1972,"Residential, Townhouse",One Story,$200/month,"3,485 Sq. Ft.",2,Community,Carpet,"Central, Gas","Central Air, Electric",$782 ,
https://www.redfin.com/NV/Las-Vegas/3743-Cannon-Ave-89121/home/29423473,66,42,52,George E Harris Elementary School,4,C W Woodbury Middle School,2,Chaparral High School,2,"3743 Cannon Ave,Las Vegas,NV89121","$235,000 ",2,2,"1,320",,,1971,"Residential, Townhouse",One Story,$200/month,"3,049 Sq. Ft.",2,,"Carpet, Linoleum, Vinyl","Central, Gas","Central Air, Electric",$753 ,Patio
https://www.redfin.com/NV/Las-Vegas/3833-Rio-Blanco-Pl-89121/home/29424714,71,42,58,George E Harris Elementary School,4,C W Woodbury Middle School,2,Chaparral High School,2,"3833 Rio Blanco Pl,Las Vegas,NV89121","$410,000 ",3,2,"2,130",,,1973,"Residential, Single Family Residence",One Story,,"7,841 Sq. Ft.",,"In Ground, Private","Carpet, Ceramic Tile, Laminate","Central, Gas","Central Air, Electric","$1,134 ","Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/1405-Hillside-Pl-89104/home/29452794,70,48,51,Crestwood Elementary School,4,John C Fremont Middle School,5,Valley High School,1,"1405 Hillside Pl,Las Vegas,NV89104","$440,000 ",3,2,"1,649",,,1961,"Residential, Single Family Residence",One Story,,"7,841 Sq. Ft.",2,,"Ceramic Tile, Tile","Central, Gas","Central Air, Electric",$920 ,"Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/1704-Griffith-Ave-89104/home/29454180,55,45,44,Crestwood Elementary School,4,John C Fremont Middle School,5,Valley High School,1,"1704 Griffith Ave,Las Vegas,NV89104","$350,000 ",3,2,"1,427",,,1961,"Residential, Single Family Residence",One Story,,"6,970 Sq. Ft.",2,,"Carpet, Linoleum, Vinyl","Central, Electric","Central Air, Electric",$737 ,
https://www.redfin.com/NV/Las-Vegas/1605-5th-Pl-89104/home/29454579,69,54,58,John S Park Elementary School,5,John C Fremont Middle School,5,Valley High School,1,"1605 5th Pl,Las Vegas,NV89104","$438,775 ",3,2,"1,808",,,1955,"Residential, Single Family Residence",One Story,,"10,019 Sq. Ft.",1,,Carpet,"Central, Gas","Central Air, Electric",$963 ,
https://www.redfin.com/NV/Las-Vegas/1913-E-Saint-Louis-Ave-89104/home/29454745,65,43,49,Crestwood Elementary School,4,K O Knudson Junior High School,5,Valley High School,1,"1913 E Saint Louis Ave,Las Vegas,NV89104","$365,000 ",4,2,"1,276",,,1961,"Residential, Single Family Residence",One Story,,"6,098 Sq. Ft.",1,,"Carpet, Linoleum, Vinyl","Central, Electric","Central Air, Electric",$682 ,
https://www.redfin.com/NV/Las-Vegas/3506-Westleigh-Ave-89102/home/29458768,47,38,47,Howard Wasden Elementary School,5,Hyde Park Middle School,7,Education W Clark High School,3,"3506 Westleigh Ave,Las Vegas,NV89102","$455,000 ",4,2,"1,743",,,1953,"Residential, Single Family Residence",One Story,,"8,276 Sq. Ft.",1,,"Hardwood, Tile","Central, Electric","Central Air, Electric","$1,219 ","Covered, Patio, Porch"
https://www.redfin.com/NV/Las-Vegas/1355-Douglas-Dr-89102/home/29458770,44,38,46,Howard Wasden Elementary School,5,Hyde Park Middle School,7,Education W Clark High School,3,"1355 Douglas Dr,Las Vegas,NV89102","$500,000 ",4,2,"1,872",,,1953,"Residential, Single Family Residence",One Story,,"7,841 Sq. Ft.",,"In Ground, Private, Pool/Spa Combo",Laminate,"Central, Gas","Central Air, Electric, 2 Units","$1,674 ",
https://www.redfin.com/NV/Las-Vegas/2101-Plaza-del-Cerro-89102/home/29459184,60,38,49,Howard Wasden Elementary School,5,Hyde Park Middle School,7,Education W Clark High School,3,"2101 Plaza Del Cerro,Las Vegas,NV89102","$655,000 ",3,2.5,"2,394",,,1975,"Residential, Single Family Residence",One Story,$340/month,"6,098 Sq. Ft.",2,"Association, Community","Carpet, Hardwood, Tile","Central, Electric","Central Air, Electric","$1,546 ","Covered, Enclosed, Patio"
https://www.redfin.com/NV/Las-Vegas/2724-Miraflores-Ave-89102/home/29460615,57,39,57,Howard Wasden Elementary School,5,Hyde Park Middle School,7,Education W Clark High School,3,"2724 Miraflores Ave,Las Vegas,NV89102","$450,000 ",3,2.5,"1,867",,,1983,"Residential, Single Family Residence",Two Story,,"6,098 Sq. Ft.",2,"In Ground, Private","Laminate, Tile","Central, Gas","Central Air, Electric, 2 Units","$1,826 ","Balcony, Covered, Patio"
https://www.redfin.com/NV/Las-Vegas/4557-Sirius-Ave-89102/home/29462921,72,40,55,Rex Bell Elementary School,4,James Cashman Middle School,4,Education W Clark High School,3,"4557 Sirius Ave,Las Vegas,NV89102","$300,000 ",3,2.5,"1,365",,,1978,"Residential, Townhouse",Two Story,$195/month,"1,742 Sq. Ft.",2,Community,"Carpet, Tile","Central, Electric","Central Air, Electric",$817 ,
https://www.redfin.com/NV/Las-Vegas/2824-Alcoa-Ave-89102/home/29464997,72,39,54,Rex Bell Elementary School,4,James Cashman Middle School,4,Education W Clark High School,3,"2824 Alcoa Ave,Las Vegas,NV89102","$1,895/mo",4,2,"1,809",,,,,,,,,,,,,,
https://www.redfin.com/NV/Las-Vegas/2616-Yardley-St-89102/home/29465095,48,38,41,Rex Bell Elementary School,4,James Cashman Middle School,4,Education W Clark High School,3,"2616 Yardley St,Las Vegas,NV89102","$429,000 ",3,2,"1,570",,,1974,"Residential, Single Family Residence",One Story,,"6,534 Sq. Ft.",2,,Laminate,"Central, Electric","Central Air, Electric","$1,084 ","Covered, Patio"
