Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Score (out of 10),Middle School Score (out of 10),High School Score (out of 10),Price,Beds,Baths,Sq Ft, Monthly Payment,Year Built,HOA Dues,Lot Size,Garage Spaces,Tax Amount,Zip Code
52,43,60,4,4,1,699900 ,4,3,2123,4215,2022,0,"9,148",3,292,89108
67,41,50,6,2,3,219900 ,2,2,900,1553,1990,190,900,0,559,89108
56,41,46,4,7,1,385000 ,3,2,1249,2382,1975,0,"8,712",2,926,89107
66,42,51,5,4,1,299900 ,3,1,888,1842,1956,0,"5,227",0,552,89107
80,45,58,3,4,1,265000 ,2,1,832,1629,1947,0,"4,792",0,507,89101
48,44,39,4,2,1,509900 ,5,3,2737,3156,1970,0,12197,0,1230,89108
72,41,51,6,2,3,419000 ,3,2.5,1702,2660,1996,0,"4,356",2,1819,89108
50,41,54,4,4,1,475000 ,4,2,1691,2944,1969,0,"6,970",2,1193,89107
47,39,47,4,2,3,379900 ,3,2.5,1601,2457,1992,75,"4,356",2,1286,89108
69,40,50,5,,2,290000 ,3,2,1280,1763,1958,0,"5,663",0,321,89106
84,61,62,3,5,4,429500 ,2,1,764,2617,1931,0,"6,970",0,542,89101
90,61,61,3,5,4,429500 ,2,1,1796,2614,1929,0,"6,970",0,506,89101
36,38,35,2,3,1,349900 ,4,2,1492,2165,1960,0,"6,098",0,837,89107
60,44,52,5,4,1,357900 ,3,2,2270,2234,1972,0,"6,098",1,1092,89108
63,42,63,4,4,1,217900 ,3,1.5,986,1489,1971,135,871,0,597,89108
59,41,52,3,2,3,314900 ,2,2,1098,1920,1979,0,"3,485",1,410,89108
44,44,44,4,2,1,499900 ,3,2,1981,3148,1956,0,45738,2,1859,89108
45,43,51,5,4,1,509900 ,4,4,3045,3132,1968,0,10890,0,951,89108
56,40,44,2,4,1,314900 ,3,2,1585,2183,1983,210,"3,485",2,1051,89107
44,39,59,4,3,1,349900 ,3,2,1512,2169,1977,0,"6,098",0,884,89110
27,37,35,5,7,3,899900 ,4,5.5,5280,5769,1977,0,20473,4,4565,89107
54,36,46,4,3,3,409900 ,3,3,1893,2585,1983,0,"6,970",3,1567,89107
42,39,42,8,8,2,824900 ,3,3.5,3250,5564,2017,100,"6,970",3,6296,89148
19,41,34,6,5,2,785000 ,4,4,3668,5161,1998,177,"10,454",3,3398,89147
74,41,53,3,7,3,499888 ,4,4,2443,3104,1964,0,27443,2,1331,89146
57,38,50,5,7,3,625000 ,4,2.5,2404,3880,1962,0,13068,2,1647,89102
4,0,30,,8,2,644000 ,2,2.5,2100,4393,2004,275,"6,534",2,3142,89135
38,34,38,7,8,6,488000 ,3,2,1143,3169,2001,57,"4,792",2,2275,89135
65,39,54,4,5,3,675000 ,3,2,1651,4108,1964,0,10890,2,799,89146
