Price,Bedroom(s),Bathroom,Area (),Address,Other info,Image,Detail link,Zip Code
"$353,000 ",2,2,"1,268","10001 Peace Way UNIT 2259, Spring Valley, NV 89147",,https://photos.zillowstatic.com/fp/fc8bca1f58c1356a3312d20437f5ebcb-p_e.jpg,https://www.zillow.com/homedetails/10001-Peace-Way-UNIT-2259-Spring-Valley-NV-89147/66855108_zpid/,89147
"$354,900 ",3,2,"1,482","10001 Peace Way UNIT 2260, Las Vegas, NV 89147",,https://photos.zillowstatic.com/fp/c2758dfbaa2ca30a0019ddd4d041b3a7-p_e.jpg,https://www.zillow.com/homedetails/10001-Peace-Way-UNIT-2260-Las-Vegas-NV-89147/66857989_zpid/,89147
"$577,000 ",4,5,"2,363","10009 Mahogany Grove Ln, Las Vegas, NV 89117",,https://photos.zillowstatic.com/fp/c39ea204d0aa72869894134fcd6923da-p_e.jpg,https://www.zillow.com/homedetails/10009-Mahogany-Grove-Ln-Las-Vegas-NV-89117/7112714_zpid/,89117
"$385,000 ",3,3,"1,461","10017 Camino Loma Verde Ave, Las Vegas, NV 89117",,https://photos.zillowstatic.com/fp/6aa55c61830c12a03511be4f2e2b19ce-p_e.jpg,https://www.zillow.com/homedetails/10017-Camino-Loma-Verde-Ave-Las-Vegas-NV-89117/7110192_zpid/,89117
"$571,570 ",2,2,"1,648","10026 Auburn Rose Ave #278, Las Vegas, NV 89143",https://ssl.cdn-redfin.com/photo/95/islphoto/299/genIslnoResize.2527299_0.jpg,https://www.redfin.com/NV/Las-Vegas/10026-Auburn-Rose-Ave-89143/unit-278/home/187590987,,89143
"$325,000 ",3,3,"1,387","10053 Fine Fern St, Las Vegas, NV 89183",,https://photos.zillowstatic.com/fp/bdb7d2f679c240ac4343ad562e6e828f-p_e.jpg,https://www.zillow.com/homedetails/10053-Fine-Fern-St-Las-Vegas-NV-89183/53376654_zpid/,89183
"$628,720 ",3,3,"2,061","10057 Auburn Rose Ave #269, Las Vegas, NV 89143",,https://photos.zillowstatic.com/fp/0366bce6c80fdbb8355274735129455a-p_e.jpg,https://www.zillow.com/homedetails/10057-Auburn-Rose-Ave-269-Las-Vegas-NV-89143/2055456743_zpid/,89143
"$633,425 ",3,2.5,2068,"10074 Auburn Rose Ave #272, Las Vegas, NV 89143",https://ssl.cdn-redfin.com/photo/95/islphoto/336/genIslnoResize.2527336_0.jpg,https://www.redfin.com/NV/Las-Vegas/10074-Auburn-Rose-Ave-89143/unit-272/home/187590867,,89143
"$594,370 ",3,2,"1,811","10082 Auburn Rose Ave #271, Las Vegas, NV 89143",,https://photos.zillowstatic.com/fp/f8ffbce0c1d6ad5c10effd5e8692986d-p_e.jpg,https://www.zillow.com/homedetails/10082-Auburn-Rose-Ave-271-Las-Vegas-NV-89143/2055456742_zpid/,89143
"$678,000 ",4,4,"2,888","10118 Bismarck Palms Ave, Las Vegas, NV 89166",,https://photos.zillowstatic.com/fp/8f731411604b7d9bb196c5f6d4b76ebf-p_e.jpg,https://www.zillow.com/homedetails/10118-Bismarck-Palms-Ave-Las-Vegas-NV-89166/337617151_zpid/,89166
"$695,000 ",5,2.5,"3,971","10118 Cache River Ct, Las Vegas, NV 89141",https://ssl.cdn-redfin.com/photo/95/islphoto/915/genIslnoResize.2527915_1.jpg,https://www.redfin.com/NV/Las-Vegas/10118-Cache-River-Ct-89141/home/166355328,,89141
"$290,000 ",2,2,838,"10121 Jacob Pl UNIT 102, Las Vegas, NV 89144",,https://photos.zillowstatic.com/fp/77b44f18417e59b8e56c301f7dbc56f1-p_e.jpg,https://www.zillow.com/homedetails/10121-Jacob-Pl-UNIT-102-Las-Vegas-NV-89144/6913356_zpid/,89144
"$349,900 ",3,2,"1,474","1014 Date St, Las Vegas, NV 89108",,https://photos.zillowstatic.com/fp/17aa1829432f241b87d89ac5e64f399e-p_e.jpg,https://www.zillow.com/homedetails/1014-Date-St-Las-Vegas-NV-89108/7011872_zpid/,89108
"$539,000 ",4,3,2160,"10141 Skye Camp Dr, Las Vegas, NV 89166",https://ssl.cdn-redfin.com/system_files/media/831430_JPG/genDesktopMapHomeCardUrl/item_2.jpg,https://www.redfin.com/NV/Las-Vegas/10141-Skye-Camp-Dr-89166/home/165776460,,89166
"$799,000 ",4,4,"3,160","10148 Skye Saddle Ave, Las Vegas, NV 89166",,https://photos.zillowstatic.com/fp/0a2beeac2feca56f68848ce5dc86b0ed-p_e.jpg,https://www.zillow.com/homedetails/10148-Skye-Saddle-Ave-Las-Vegas-NV-89166/318350045_zpid/,89166
"$339,900 ",3,2.5,1510,"10164 Rising Tree St, Las Vegas, NV 89183",https://ssl.cdn-redfin.com/photo/95/islphoto/608/genIslnoResize.2528608_0.jpg,https://www.redfin.com/NV/Las-Vegas/10164-Rising-Tree-St-89183/home/29876957,,89183
"$560,000 ",4,3,"2,313","10189 Chestnut Wood Ave, Las Vegas, NV 89148",,https://photos.zillowstatic.com/fp/57a0f29bc611ad47fb6846f86a66d833-p_e.jpg,https://www.zillow.com/homedetails/10189-Chestnut-Wood-Ave-Las-Vegas-NV-89148/79882654_zpid/,89148
"$800,000 ",5,3,"3,017","1020 Eaglewood Dr, Las Vegas, NV 89144",,https://photos.zillowstatic.com/fp/9de16563fd844c4f44f093fa13618fb6-p_e.jpg,https://www.zillow.com/homedetails/1020-Eaglewood-Dr-Las-Vegas-NV-89144/6914576_zpid/,89144
"$274,999 ",2,2,1050,"1021 Willow Tree Dr Unit C, Las Vegas, NV 89128",https://ssl.cdn-redfin.com/photo/95/islphoto/166/genIslnoResize.2528166_1.jpg,https://www.redfin.com/NV/Las-Vegas/1021-Willow-Tree-Dr-89128/unit-C/home/29201169,,89128
"$315,000 ",2,2,"1,280","10221 Deerfield Beach Ave UNIT 201, Las Vegas, NV 89129",,https://photos.zillowstatic.com/fp/242afb60a2ed0b16134db60521dd4b1e-p_e.jpg,https://www.zillow.com/homedetails/10221-Deerfield-Beach-Ave-UNIT-201-Las-Vegas-NV-89129/59432696_zpid/,89129
"$639,000 ",2,2,"1,719","10238 Donde Ave, Las Vegas, NV 89135",https://ssl.cdn-redfin.com/photo/95/islphoto/133/genIslnoResize.2527133_1.jpg,https://www.redfin.com/NV/Las-Vegas/10238-Donde-Ave-89135/home/28978855,,89135
"$869,000 ",4,3.5,"3,217","10244 Strada Laterina Ct, Las Vegas, NV 89135",https://ssl.cdn-redfin.com/photo/95/islphoto/217/genIslnoResize.2528217_2.jpg,https://www.redfin.com/NV/Las-Vegas/10244-Strada-Laterina-Ct-89135/home/29898615,,89135
"$409,900 ",3,2,"1,432","10250 Sun Dusk Ln, Las Vegas, NV 89144",,https://photos.zillowstatic.com/fp/8923dce7a926bacf312a7e2b886d7485-p_e.jpg,https://www.zillow.com/homedetails/10250-Sun-Dusk-Ln-Las-Vegas-NV-89144/6913891_zpid/,89144
"$565,000 ",4,3,"1,930","10301 Horseback Ridge Ave, Las Vegas, NV 89144",,https://photos.zillowstatic.com/fp/489b4cd9ad9d6bee1dab187166e82a64-p_e.jpg,https://www.zillow.com/homedetails/10301-Horseback-Ridge-Ave-Las-Vegas-NV-89144/6913061_zpid/,89144
"$559,000 ",2,2,"1,719","10304 Premia Pl, Las Vegas, NV 89135",,https://photos.zillowstatic.com/fp/37db6b02b1d8132b2ecf270bb9f92ccb-p_e.jpg,https://www.zillow.com/homedetails/10304-Premia-Pl-Las-Vegas-NV-89135/63139412_zpid/,89135
"$379,727 ",3,2,"1,354","10312 William Fortye Ave, Las Vegas, NV 89129",,https://photos.zillowstatic.com/fp/5223592b08186993cfd8617e701892bc-p_e.jpg,https://www.zillow.com/homedetails/10312-William-Fortye-Ave-Las-Vegas-NV-89129/53364088_zpid/,89129
"$735,000 ",4,3,"2,549","10323 Aragon Crown Rd, Las Vegas, NV 89135",,https://photos.zillowstatic.com/fp/56bffa4e547db29f45c0c622eb331261-p_e.jpg,https://www.zillow.com/homedetails/10323-Aragon-Crown-Rd-Las-Vegas-NV-89135/121087577_zpid/,89135
