URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Name,Elementary School Score (out of 10),Middle School Name,Middle School Score (out of 10),High School Name,High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Est. Monthly Payment,Time on Redfin,Year Built,Property Type,Style,HOA Dues,Lot Size,Garage Spaces,Has Pool,Floor Type,Heat Type,Cool Type,Tax Amount,Has Patio,Flood Factor,Fire Factor,Heat Factor,Wind Factor
https://www.redfin.com/NV/Las-Vegas/1758-Shady-Elm-St-89135/home/29897110,52,35,38,d'Vorre & Hall Ober Elementary School,7,Sig Rogich Middle School,8,Palo Verde High School,6,"1758 Shady Elm St,Las Vegas,NV89135","$845,000 ",3,2.5,"2,715","Est. $5,589/mo",6 days,2003,"Residential, Single Family Residence",One Story,$55/month,"8,276 Sq. Ft.",3,"In Ground, Private","Carpet, Hardwood","Central, Gas","Central Air, Electric","$4,771 ",Patio,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/9642-Saint-Claude-Ave-89148/home/29584469,40,38,40,Kathy L. Batterman Elementary School,8,Victoria Fertitta Middle School,8,Durango High School,2,"9642 Saint Claude Ave,Las Vegas,NV89148","$733,000 ",5,3,"4,058","Est. $4,759/mo",1 hour,2001,"Residential, Single Family Residence",Two Story,,"8,276 Sq. Ft.",3,,"Carpet, Tile","Central, Gas","Central Air, Electric, 2 Units","$3,645 ","Balcony, Covered, Patio",Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/361-Borgato-Ct-89145/home/169229691,41,33,58,Walter Jacobson Elementary School,5,Walter Johnson Junior High School,7,Palo Verde High School,6,"361 Borgato Ct,Las Vegas,NV89145","$599,999 ",5,3,"2,954","Est. $4,111/mo",1 hour,2020,"Residential, Single Family Residence",Two Story,$37/month,"4,356 Sq. Ft.",2,,"Carpet, Tile","Central, Gas","Central Air, Electric, 2 Units","$5,120 ",,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/136-Countrywood-Cir-89107/home/29233924,43,39,40,Red Rock Elementary School,2,Frank F Garside Junior High School,3,Western High School,1,"136 Countrywood Cir,Las Vegas,NV89107","$425,000 ",3,2.5,"1,635","Est. $2,764/mo",4 hours,1989,"Residential, Single Family Residence",Two Story,$85/month,"4,356 Sq. Ft.",2,,"Linoleum, Vinyl","Central, Gas","Central Air, Electric","$1,286 ","Covered, Patio",Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3980-Palos-Verdes-St-89119/home/29499707,78,48,69,Ruby S Thomas Elementary School,2,William E Orr Middle School,3,Valley High School,1,"3980 Palos Verdes St,Las Vegas,NV89119","$139,000 ",1,1,528,"Est. $1,149/mo",5 hours,1972,"Residential, Townhouse",One Story,$275/month,"1,307 Sq. Ft.",,,"Laminate, Tile","Central, Gas","Central Air, Electric",$348 ,,Moderate,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1820-Hassett-Ave-89104/home/29453957,55,42,50,Crestwood Elementary School,4,John C Fremont Middle School,5,Valley High School,1,"1820 Hassett Ave,Las Vegas,NV89104","$429,992 ",4,3,"1,764","Est. $2,690/mo",5 hours,1954,"Residential, Single Family Residence",Two Story,,"6,534 Sq. Ft.",1,"In Ground, Private",Luxury Vinyl Plank,"Central, Electric","Central Air, Electric",$911 ,,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/616-Heartline-Dr-89145/home/29214849,61,43,46,Walter Jacobson Elementary School,5,Walter Johnson Junior High School,7,Palo Verde High School,6,"616 Heartline Dr,Las Vegas,NV89145","$560,000 ",3,2,"1,888","Est. $3,606/mo",5 hours,1995,"Residential, Single Family Residence",One Story,,"7,841 Sq. Ft.",3,,"Carpet, Laminate","Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units","$2,419 ",Patio,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10324-Juniper-Creek-Ln-89145/home/29858044,65,34,49,John W Bonner Elementary School,9,Sig Rogich Middle School,8,Palo Verde High School,6,"10324 Juniper Creek Ln,Las Vegas,NV89145","$515,000 ",3,2,"1,603","Est. $3,668/mo",6 hours,2001,"Residential, Townhouse",One Story,$344/month,"3,485 Sq. Ft.",2,Community,Laminate,"Central, Gas","Central Air, Electric","$2,325 ",Patio,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/7503-W-Diablo-Dr-89113/home/29581674,16,35,31,Lucille S Rogers Elementary School,8,Grant Sawyer Middle School,4,Durango High School,2,"7503 W Diablo Dr,Las Vegas,NV89113","$435,000 ",3,2,"1,282","Est. $2,799/mo",7 hours,1997,"Residential, Single Family Residence",One Story,,"4,356 Sq. Ft.",2,"In Ground, Private, Pool/Spa Combo, Waterfall","Carpet, Luxury Vinyl Plank","Central, Gas","Central Air, Electric","$1,859 ",,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/219-Earl-St-89101/home/29348763,85,54,71,Howard E Hollingsworth Elementary School,3,John C Fremont Middle School,5,Valley High School,1,"219 Earl St,Las Vegas,NV89101","$339,999 ",4,2,"1,508","Est. $2,120/mo",8 hours,1942,"Residential, Single Family Residence",One Story,,"8,276 Sq. Ft.",,,Carpet,"Central, Electric","Central Air, Electric",$638 ,"Covered, Patio",Minimal,Minimal,Severe,Minimal
