URL,Flood Factor,Fire Factor,Heat Factor,Wind Factor
https://www.redfin.com/NV/Las-Vegas/1758-Shady-Elm-St-89135/home/29897110,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/9642-Saint-Claude-Ave-89148/home/29584469,Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/361-Borgato-Ct-89145/home/169229691,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/136-Countrywood-Cir-89107/home/29233924,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3980-Palos-Verdes-St-89119/home/29499707,Moderate,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1820-Hassett-Ave-89104/home/29453957,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/616-Heartline-Dr-89145/home/29214849,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10324-Juniper-Creek-Ln-89145/home/29858044,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/7503-W-Diablo-Dr-89113/home/29581674,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/219-Earl-St-89101/home/29348763,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10009-Mahogany-Grove-Ln-89117/home/29527906,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/9830-Hanover-Grove-Ave-89148/home/29032968,Moderate,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/205-S-Mallard-St-89107/home/29232105,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/813-Antelope-Way-89145/home/29225830,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3455-Golden-Lily-St-89117/home/109628827,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/301-Courtney-Ln-89107/home/29227110,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/11297-Colinward-Ave-89135/home/29320421,Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/709-Rivenbark-Ct-89145/home/29214767,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/137-N-20th-St-89101/home/29349706,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1509-S-15th-St-89104/home/29451492,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3217-Harbor-Vista-St-89117/home/29532493,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/6773-Firewood-Dr-89148/home/29011548,Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/8461-Brillancy-Ave-89147/home/29560242,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1833-Glenwillow-Dr-89117/home/29523563,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3009-Periscope-Ct-89117/home/29529997,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3546-Blackstone-St-89121/home/29474281,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/6766-Regency-Valley-St-89148/home/167755549,Minimal,Moderate,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1325-Griffith-Ave-89104/home/29452827,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/11250-Cactus-Tower-Ave-89135/unit-103/home/166299125,Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/7363-Mission-Hills-Dr-89113/home/29580589,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/6921-Emerald-Springs-Ln-89113/home/29582433,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3179-Batavia-Dr-89102/home/29462894,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/5012-Iowa-Ave-89107/home/29190146,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/7624-Genzer-Dr-89145/home/29219632,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/8186-Merlewood-Ave-89117/home/29923315,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/8217-Eginton-Ave-89145/home/29215575,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2800-Albrook-Cir-89117/home/29529679,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/200-Lindy-Dr-89107/home/29227848,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/9700-Falling-Star-Ave-89117/home/29528056,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1904-Canosa-Ave-89104/home/29454350,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1017-Nye-St-89106/home/29340288,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/613-Stanford-St-89107/home/29190098,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/11337-Corsica-Mist-Ave-89135/home/29033536,Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/982-Bel-Air-Cir-89109/home/29466854,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/7321-Sequoia-Springs-Dr-89147/home/29547563,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3529-Erva-St-89147/home/29552186,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/5508-Morendo-Dr-89107/home/29188242,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3017-Piedmont-Ave-89102/home/29465035,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1704-Pacific-St-89104/home/29451057,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10608-Tyne-Pl-89144/home/29111912,Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4355-Tall-Tree-St-89147/home/29558971,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3900-Blackford-Pl-89102/home/29464371,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1845-Lindell-Rd-89146/home/29516533,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/5457-Olivebrook-Ct-89120/home/29511584,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/8960-Antioch-Way-89117/home/29531082,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1016-Bracken-Ave-89104/home/29456289,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/9224-Canalino-Dr-89134/home/29211829,Moderate,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1590-Rawhide-St-89119/home/29513434,Minimal,Minimal,Severe,Minimal
