zip,lat,lng,city,population,density,county_name,Median Household Income,Renter Occupied Households,Renter Occupied Households Percentage,Households Vacant,Households Vacant Percentage,Vacancy For Rent,Vacancy For Rent Percentage,Rental Properties by Number of Rooms-Studio Apartment,Rental Properties by Number of Rooms-Studio Apartment Percentage,Rental Properties by Number of Rooms- 1 Bedroom,Rental Properties by Number of Rooms- 1 Bedroom Percentage,Rental Properties by Number of Rooms- 2 Bedroom,Rental Properties by Number of Rooms- 2 Bedroom Percentage,Rental Properties by Number of Rooms- 3+ Bedroom,Rental Properties by Number of Rooms- 3+ Bedroom Percentage,Unemployment rate,,,,,
89011,36.08,-114.97,Henderson,"19,550","1,150",Clark,"55,856","2,817",29%,"1,949",20%,637,33%,26,1%,353,14%,995,39%,"1,190",46%,4.90%,,,,,
89014,36.06,-115.09,Henderson,36922,4871,Clark,"52,417","8,051",49%,"1,426",9%,678,48%,30,0%,2528,31%,"3,359",41%,"2,297",28%,8.10%,,,,,
89030,36.21235,-115.12313,North Las Vegas,53763,2191.5,Clark,"29,964","7,862",49%,"2,248",14%,"1,501",67%,393,5%,1266,16%,"3,091",40%,"2,994",39%,5.60%,,,,,
89031,36.25846,-115.17075,North Las Vegas,72377,2825.3,Clark,"62,811","4,671",22%,"4,671",22%,"2,294",11%,52,1%,60,1%,804,13%,"5,319",85%,10.00%,,,,,
89032,36.22239,-115.17358,North Las Vegas,47881,1851.4,Clark,"51,734","4,548",32%,"1,628",11%,858,36%,115,2%,538,10%,"1,399",25%,"3,439",63%,7.30%,,,,,
89044,35.7,-115.1,Henderson,"14,260",455,Clark,"72,573","1,110",15%,"1,231",16%,127,10%,10,1%,0,0%,391,32%,836,68%,3.40%,,,,,
89052,35.98,-115.1,Henderson,"47,214",909,Clark,"75,555","6,015",27%,"2,505",11%,432,17%,15,0%,761,12%,"2,492",38%,"3,259",50%,6.10%,,,,,
89074,36.03,-115.07,Henderson,47095,5247,Clark,"68,383","6,259",31%,"1,895",9%,705,37%,27,0%,998,15%,"2,377",36%,"3,162",48%,6.10%,,,,,
89081,36.2586,-115.10703,North Las Vegas,39820,2133.8,Clark,"57,416","3,668",34%,"1,447",13%,378,26%,124,3%,456,10%,"1,007",23%,"2,853",64%,8.20%,,,,,
89101,36.17279,-115.12234,Las Vegas,43572,3127.6,Clark,"22,401","11,475",63%,"3,886",21%,"2,635",68%,2351,21%,3613,32%,"3,472",31%,"1,817",16%,9.70%,,,,,
