URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Name,Elementary School Score (out of 10),Middle School Name,Middle School Score (out of 10),High School Name,High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Est. Monthly Payment,Time on Redfin,Year Built,Property Type,Style,HOA,Lot Size,Garage Spaces,Floor Type,Heat Type,Cool Type,Tax Amount,Zip Code,Noise Level,Flood Factor,Fire Factor,Heat Factor,Wind Factor
https://www.redfin.com/NV/Las-Vegas/4919-Mount-Pleasant-Ln-89113/home/29582118,14,38,30,Lucille S Rogers Elementary School,8,Grant Sawyer Middle School,4,Durango High School,2,"4919 Mount Pleasant Ln,Las Vegas,NV89113",649750,2,2.5,1734,"$4,854 ",7 days,1994,"Residential, Townhouse",Two Story,$770 ,"3,049",2,Laminate,"Central, Gas","Central Air, Electric",2318,89113,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/7148-Montcliff-Ave-89147/home/29547749,68,42,43,Pat Diskin Elementary School,5,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"7148 Montcliff Ave,Las Vegas,NV89147",425000,4,2,1509,"$2,642 ",7 days,1980,"Residential, Single Family Residence",One Story,0,"6,534",2,"Carpet, Ceramic Tile, Tile","Central, Gas","Central Air, Electric",1166,89147,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10582-Mandarino-Ave-89135/home/29898569,21,22,29,,,Victoria Fertitta Middle School,8,Durango High School,2,"10582 Mandarino Ave,Las Vegas,NV89135",925000,2,2.5,2777,"$6,235 ",7 days,2001,"Residential, Single Family Residence",One Story,$275 ,"8,712",2,"Laminate, Tile","Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units",5057,89135,Medium,Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/5927-Trail-Roundup-Ln-89113/home/29585366,10,35,39,Lucille S Rogers Elementary School,8,Grant Sawyer Middle School,4,Durango High School,2,"5927 Trail Roundup Ln,Las Vegas,NV89113",549000,3,2,1578,"$3,439 ",7 days,1996,"Residential, Single Family Residence",One Story,0,"6,534",2,"Hardwood, Tile","Central, Gas","Central Air, Gas",1823,89113,Medium,Minimal,Moderate,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/11832-Saverio-Ave-89138/home/144625830,6,0,27,Billy And Rosemary Vassiliadis Elementary School,10,Sig Rogich Middle School,8,Palo Verde High School,6,"11832 Saverio Ave,Las Vegas,NV89138",888888,3,3,2280,"$6,003 ",7 days,2017,"Residential, Single Family Residence",One Story,$121 ,"8,712",2,"Carpet, Ceramic Tile","Central, Gas","Central Air, Electric",6711,89138,Medium,Minimal,Major,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/7229-Tempest-Pl-89145/home/29222618,70,34,45,Helen M Smith Elementary School,7,Walter Johnson Junior High School,7,Bonanza High School,3,"7229 Tempest Pl,Las Vegas,NV89145",365000,3,2,1358,"$2,278 ",7 days,1977,"Residential, Single Family Residence",One Story,0,"6,970",2,"Carpet, Tile","Central, Electric","Central Air, Electric",1105,89145,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1521-Padova-Dr-89117/home/29523906,63,40,53,Piggott Academy of International Studies,7,Walter Johnson Junior High School,7,Bonanza High School,3,"1521 Padova Dr,Las Vegas,NV89117",569999,4,3,2172,"$3,654 ",7 days,1984,"Residential, Single Family Residence",Two Story,0,"7,405",2,"Carpet, Hardwood, Linoleum, Tile, Vinyl","Central, Gas","Central Air, Electric",2895,89117,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/7814-Harbour-Towne-Ave-89113/home/29583264,3,34,26,Lucille S Rogers Elementary School,8,Grant Sawyer Middle School,4,Durango High School,2,"7814 Harbour Towne Ave,Las Vegas,NV89113",699999,2,2.5,1914,"$5,063 ",7 days,1989,"Residential, Townhouse",One Story,$608 ,"3,485",2,Luxury Vinyl Plank,"Central, Gas","Central Air, Electric",3162,89113,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2008-Summit-Pointe-Dr-89117/home/29527436,48,36,40,Piggott Academy of International Studies,7,Walter Johnson Junior High School,7,Bonanza High School,3,"2008 Summit Pointe Dr,Las Vegas,NV89117",580000,4,3,2288,"$3,790 ",8 days,1994,"Residential, Single Family Residence",Two Story,$96 ,"5,227",3,"Carpet, Ceramic Tile, Luxury Vinyl Plank","Central, Gas","Central Air, Electric",2652,89117,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2784-Belcastro-St-89117/home/29537078,39,37,54,R Guild Gray Elementary School,4,Clifford J Lawrence Junior High School,5,Spring Valley High School,5,"2784 Belcastro St,Las Vegas,NV89117",724900,5,3.5,2576,"$4,920 ",8 days,1977,"Residential, Single Family Residence","Two Story, Tri-Level",0,21780,2,"Carpet, Ceramic Tile","Central, Electric","Central Air, Electric",6956,89117,Medium,Minimal,Minimal,Severe,Minimal
