URL,Apartment Name,Apartment Address,ZIP Code,Price,Sqft,Beds,Baths,Property Type,Year Built
https://www.realtor.com/rentals/details/4975-Duneville-St_Las-Vegas_NV_89118_M22095-63689,Sedona Ridge,"4975 Duneville Street, Las Vegas, NV 89118",89118,"1,435",840,1,1,Apartment,
https://www.realtor.com/rentals/details/901-Fremont-St_Las-Vegas_NV_89101_M29009-54072,Ely on Fremont,"901 Fremont Street, Las Vegas, NV 89101",89101,"1,250",395,Studio,1,Apartment,
https://www.realtor.com/rentals/details/5800-W-Lake-Mead-Blvd_Las-Vegas_NV_89108_M28133-02895,District 5800 Apartment Homes,"5800  W Lake Mead Blvd, Las Vegas, NV 89108",89108,"1,000",590,1,1,Apartment,
https://www.realtor.com/rentals/details/4835-Arizona-Ave_Las-Vegas_NV_89104_M13617-32837,4835 Arizona Ave,"4835 Arizona Ave, Las Vegas, NV 89104",89104,"1,645/mo","1,222",3,2,Townhomes,1999
https://www.realtor.com/rentals/details/1300-S-Arlington-St-Apt-214_Las-Vegas_NV_89104_M27187-22210?ex=2955701950&listing_status=rental,1300 S Arlington St Apt 214,"1300 S Arlington St Apt 214, Las Vegas, NV 89104",89104,"1,599/mo","1,228",3,2,Condos,1998
https://www.realtor.com/rentals/details/1300-Pecan-Tree-Ct_Las-Vegas_NV_89142_M22851-32970,1300 Pecan Tree Court Las Vegas NV,"1300 Pecan Tree Ct, Las Vegas, NV 89142",89142,"1,949/mo","1,505",3,2,Single family,1999
https://www.realtor.com/rentals/details/11751-Village-Arbor-St_Las-Vegas_NV_89183_M26257-20236,11751 Village Arbor Street Las Vegas NV,"11751 Village Arbor St, Las Vegas, NV 89183",89183,"2,449/mo","2,030",3,2,Single family,2006
https://www.realtor.com/rentals/details/10053-Fancy-Flight-St_Las-Vegas_NV_89178_M10167-29051,10053 Fancy Flight Street Las Vegas NV,"10053 Fancy Flight St, Las Vegas, NV 89178",89178,"1,829/mo","1,605",3,2,Single family,2006
https://www.realtor.com/rentals/details/2892-Lindsey-Springs-St_Las-Vegas_NV_89142_M96297-57978,2892 Lindsey Springs Street Las Vegas NV,"2892 Lindsey Springs St, Las Vegas, NV 89142",89142,"2,349/mo","2,051",3,2,Single family,2022
https://www.realtor.com/rentals/details/1445-Little-Spring-Ct_Las-Vegas_NV_89128_M26632-38296,1445 Little Spring Court Las Vegas NV,"1445 Little Spring Ct, Las Vegas, NV 89128",89128,"1,929/mo","1,393",3,2,Single family,1997
