URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Score (out of 10),Middle School Score (out of 10),High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Year Built,Property Type,HOA Dues,Lot Size,Garage Spaces,Has Pool,Has Patio,Flood Factor,Fire Factor,Heat Factor,Wind Factor,Full Address,Zipcode
https://www.redfin.com/NV/Las-Vegas/1758-Shady-Elm-St-89135/home/29897110,52,35,38,7,8,6,"1758 Shady Elm St,Las Vegas,NV89135","$845,000 ",3,2.5,"2,715",2003,Single Family Residence,$55 ,"8,276",3,TRUE,TRUE,Minimal,Minor,Severe,Minimal,1758 Shady Elm St,89135
https://www.redfin.com/NV/Las-Vegas/9642-Saint-Claude-Ave-89148/home/29584469,40,38,40,8,8,2,"9642 Saint Claude Ave,Las Vegas,NV89148","$733,000 ",5,3,"4,058",2001,Single Family Residence,$0 ,"8,276",3,FALSE,TRUE,Minimal,Severe,Severe,Minimal,9642 Saint Claude Ave,89148
https://www.redfin.com/NV/Las-Vegas/361-Borgato-Ct-89145/home/169229691,41,33,58,5,7,6,"361 Borgato Ct,Las Vegas,NV89145","$599,999 ",5,3,"2,954",2020,Single Family Residence,$37 ,"4,356",2,FALSE,FALSE,Minimal,Minor,Severe,Minimal,361 Borgato Ct,89145
https://www.redfin.com/NV/Las-Vegas/136-Countrywood-Cir-89107/home/29233924,43,39,40,2,3,1,"136 Countrywood Cir,Las Vegas,NV89107","$425,000 ",3,2.5,"1,635",1989,Single Family Residence,$85 ,"4,356",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,136 Countrywood Cir,89107
https://www.redfin.com/NV/Las-Vegas/3980-Palos-Verdes-St-89119/home/29499707,78,48,69,2,3,1,"3980 Palos Verdes St,Las Vegas,NV89119","$139,000 ",1,1,528,1972,Townhouse,$275 ,"1,307",0,FALSE,FALSE,Moderate,Minimal,Severe,Minimal,3980 Palos Verdes St,89119
https://www.redfin.com/NV/Las-Vegas/1820-Hassett-Ave-89104/home/29453957,55,42,50,4,5,1,"1820 Hassett Ave,Las Vegas,NV89104","$429,992 ",4,3,"1,764",1954,Single Family Residence,$0 ,"6,534",1,TRUE,FALSE,Minimal,Minimal,Severe,Minimal,1820 Hassett Ave,89104
https://www.redfin.com/NV/Las-Vegas/616-Heartline-Dr-89145/home/29214849,61,43,46,5,7,6,"616 Heartline Dr,Las Vegas,NV89145","$560,000 ",3,2,"1,888",1995,Single Family Residence,$0 ,"7,841",3,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,616 Heartline Dr,89145
https://www.redfin.com/NV/Las-Vegas/10324-Juniper-Creek-Ln-89145/home/29858044,65,34,49,9,8,6,"10324 Juniper Creek Ln,Las Vegas,NV89145","$515,000 ",3,2,"1,603",2001,Townhouse,$344 ,"3,485",2,TRUE,TRUE,Minimal,Minor,Severe,Minimal,10324 Juniper Creek Ln,89145
https://www.redfin.com/NV/Las-Vegas/7503-W-Diablo-Dr-89113/home/29581674,16,35,31,8,4,2,"7503 W Diablo Dr,Las Vegas,NV89113","$435,000 ",3,2,"1,282",1997,Single Family Residence,$0 ,"4,356",2,TRUE,FALSE,Minimal,Minimal,Severe,Minimal,7503 W Diablo Dr,89113
https://www.redfin.com/NV/Las-Vegas/219-Earl-St-89101/home/29348763,85,54,71,3,5,1,"219 Earl St,Las Vegas,NV89101","$339,999 ",4,2,"1,508",1942,Single Family Residence,$0 ,"8,276",0,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,219 Earl St,89101
