URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Name,Elementary School Score (out of 10),Middle School Name,Middle School Score (out of 10),High School Name,High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Monthly Payment,Time on Redfin,Year Built,Property Type,Style,HOA Dues,Lot Size,Garage Spaces,Floor Type,Heat Type,Cool Type,Tax Amount,Zip Code,Noise Level,Flood Factor,Fire Factor,Heat Factor,Wind Factor
https://www.redfin.com/NV/Las-Vegas/1417-Winwood-St-89108/home/166580936,52,43,60,Paul E Culley Elementary School,4,Robert O Gibson Middle School,4,Western High School,1,"1417 Winwood St,Las Vegas,NV89108",699900,4,3,2123,"$4,215 ",94 days,2022,"Residential, Single Family Residence",One Story,0,"9,148",3,"Laminate, Tile","Central, Gas, Multiple Heating Units","Central Air, Electric, 2 Units",292,89108,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2136-Bavington-Dr-89108/unit-A/home/29170763,67,41,50,Lilly & Wing Fong Elementary School,6,J Harold Brinley Middle School,2,Cimarron Memorial High School,3,"2136 Bavington Dr Unit A,Las Vegas,NV89108",219900,2,2,900,"$1,553 ",94 days,1990,"Residential, Townhouse",One Story,$190 ,900,0,"Ceramic Tile, Laminate","Central, Gas","Central Air, Electric",559,89108,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4000-Fulton-Pl-89107/home/29345376,56,41,46,E W Griffith Elementary School,4,Hyde Park Middle School,7,Western High School,1,"4000 Fulton Pl,Las Vegas,NV89107",385000,3,2,1249,"$2,382 ",94 days,1975,"Residential, Single Family Residence",One Story,0,"8,712",2,"Laminate, Tile","Central, Gas","Central Air, Electric",926,89107,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/424-Stanford-St-89107/home/29190193,66,42,51,J T McWilliams Elementary School,5,Robert O Gibson Middle School,4,Western High School,1,"424 Stanford St,Las Vegas,NV89107",299900,3,1,888,"$1,842 ",96 days,1956,"Residential, Single Family Residence",One Story,0,"5,227",0,"Carpet, Linoleum, Vinyl","Central, Electric","Central Air, Electric",552,89107,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2410-Poplar-Ave-89101/home/29349865,80,45,58,Howard E Hollingsworth Elementary School,3,Roy West Martin Middle School,4,Desert Pines High School,1,"2410 Poplar Ave,Las Vegas,NV89101",265000,2,1,832,"$1,629 ",96 days,1947,"Residential, Single Family Residence",One Story,0,"4,792",0,"Carpet, Ceramic Tile","Central, Electric","Central Air, Electric",507,89101,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4228-Gaye-Ln-89108/home/29307576,48,44,39,Twin Lakes Elementary School,4,J Harold Brinley Middle School,2,Western High School,1,"4228 Gaye Ln,Las Vegas,NV89108",509900,5,3,2737,"$3,156 ",100 days,1970,"Residential, Single Family Residence",One Story,0,12197,0,"Carpet, Ceramic Tile","Central, Electric","Central Air, Electric",1230,89108,Medium,Moderate,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/6605-Woodsworth-Ave-89108/home/29169701,72,41,51,Lilly & Wing Fong Elementary School,6,J Harold Brinley Middle School,2,Cimarron Memorial High School,3,"6605 Woodsworth Ave,Las Vegas,NV89108",419000,3,2.5,1702,"$2,660 ",101 days,1996,"Residential, Single Family Residence",Two Story,0,"4,356",2,"Ceramic Tile, Laminate","Central, Gas","Central Air, Electric",1819,89108,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/613-Starks-Dr-89107/home/29342734,50,41,54,E W Griffith Elementary School,4,Robert O Gibson Middle School,4,Western High School,1,"613 Starks Dr,Las Vegas,NV89107",475000,4,2,1691,"$2,944 ",102 days,1969,"Residential, Single Family Residence",One Story,0,"6,970",2,Laminate,"Central, Electric","Central Air, Electric",1193,89107,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/2764-Trotwood-Ln-89108/home/29138985,47,39,47,Berkeley L Bunker Elementary School,4,J Harold Brinley Middle School,2,Cimarron Memorial High School,3,"2764 Trotwood Ln,Las Vegas,NV89108",379900,3,2.5,1601,"$2,457 ",105 days,1992,"Residential, Single Family Residence",Two Story,$75 ,"4,356",2,"Carpet, Laminate","Central, Gas","Central Air, Electric",1286,89108,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1225-Lawry-Ave-89106/home/29322836,69,40,50,H P Fitzgerald Elementary School,5,,,Canyon Springs High School And the Leadership And,2,"1225 Lawry Ave,Las Vegas,NV89106",290000,3,2,1280,"$1,763 ",106 days,1958,"Residential, Single Family Residence",One Story,0,"5,663",0,Tile,"Central, Electric","Central Air, Electric",321,89106,Medium,Minimal,Minimal,Severe,Minimal
