URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Score (out of 10),Middle School Score (out of 10),High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Year Built,Property Type,HOA Dues,Lot Size,Garage Spaces,Has Pool,Has Patio,Flood Factor,Fire Factor,Heat Factor,Wind Factor,Full Address,Zipcode
https://www.redfin.com/NV/Las-Vegas/3372-Death-Valley-Dr-89122/home/29418477,10,43,43,2,4,2,"3372 Death Valley Dr,Las Vegas,NV89122","$225,000 ",2,2,"1,344",1982,Single Family Residential,$70 ,"4,356",1,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,3372 Death Valley Dr,89122
https://www.redfin.com/NV/Las-Vegas/3386-Ewa-Beach-Dr-89122/unit-762/home/29418549,10,43,43,2,4,2,"3386 Ewa Beach Dr #762,Las Vegas,NV89122","$249,995 ",3,2,"1,436",1980,Single Family Residential,$72 ,"5,227",1,TRUE,FALSE,Minimal,Minimal,Severe,Minimal,3386 Ewa Beach Dr #762,89122
https://www.redfin.com/NV/Las-Vegas/4295-Chafer-Dr-89121/home/29420197,38,45,57,4,2,2,"4295 Chafer Dr,Las Vegas,NV89121","$325,000 ",4,2,"1,641",1975,Single Family Residential,$0 ,"6,098",2,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,4295 Chafer Dr,89121
https://www.redfin.com/NV/Las-Vegas/3712-Garden-South-Dr-89121/home/29423126,52,42,50,4,2,2,"3712 Garden South Dr,Las Vegas,NV89121","$255,000 ",3,1.5,"1,380",1972,Townhouse,$155 ,"1,742",2,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,3712 Garden South Dr,89121
https://www.redfin.com/NV/Las-Vegas/3543-Legendary-Dr-89121/home/29423277,52,41,46,4,2,2,"3543 Legendary Dr,Las Vegas,NV89121","$340,000 ",3,2,"1,790",1972,Townhouse,$200 ,"3,049",2,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,3543 Legendary Dr,89121
https://www.redfin.com/NV/Las-Vegas/3546-Bounty-Ave-89121/home/29423334,61,41,49,4,2,2,"3546 Bounty Ave,Las Vegas,NV89121","$200,000 ",3,2,"1,362",1972,Townhouse,$200 ,"3,485",2,TRUE,FALSE,Moderate,Minimal,Severe,Minimal,3546 Bounty Ave,89121
https://www.redfin.com/NV/Las-Vegas/3743-Cannon-Ave-89121/home/29423473,66,42,52,4,2,2,"3743 Cannon Ave,Las Vegas,NV89121","$235,000 ",2,2,"1,320",1971,Townhouse,$200 ,"3,049",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,3743 Cannon Ave,89121
https://www.redfin.com/NV/Las-Vegas/3833-Rio-Blanco-Pl-89121/home/29424714,71,42,58,4,2,2,"3833 Rio Blanco Pl,Las Vegas,NV89121","$410,000 ",3,2,"2,130",1973,Single Family Residential,$0 ,"7,841",0,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,3833 Rio Blanco Pl,89121
https://www.redfin.com/NV/Las-Vegas/1405-Hillside-Pl-89104/home/29452794,70,48,51,4,5,1,"1405 Hillside Pl,Las Vegas,NV89104","$440,000 ",3,2,"1,649",1961,Single Family Residential,$0 ,"7,841",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,1405 Hillside Pl,89104
https://www.redfin.com/NV/Las-Vegas/1704-Griffith-Ave-89104/home/29454180,55,45,44,4,5,1,"1704 Griffith Ave,Las Vegas,NV89104","$350,000 ",3,2,"1,427",1961,Single Family Residential,$0 ,"6,970",2,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,1704 Griffith Ave,89104
https://www.redfin.com/NV/Las-Vegas/1605-5th-Pl-89104/home/29454579,69,54,58,5,5,1,"1605 5th Pl,Las Vegas,NV89104","$438,775 ",3,2,"1,808",1955,Single Family Residential,$0 ,"10,019",1,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,1605 5th Pl,89104
https://www.redfin.com/NV/Las-Vegas/1913-E-Saint-Louis-Ave-89104/home/29454745,65,43,49,4,5,1,"1913 E Saint Louis Ave,Las Vegas,NV89104","$365,000 ",4,2,"1,276",1961,Single Family Residential,$0 ,"6,098",1,FALSE,FALSE,Minimal,Minimal,Severe,Minimal,1913 E Saint Louis Ave,89104
https://www.redfin.com/NV/Las-Vegas/3506-Westleigh-Ave-89102/home/29458768,47,38,47,5,7,3,"3506 Westleigh Ave,Las Vegas,NV89102","$455,000 ",4,2,"1,743",1953,Single Family Residential,$0 ,"8,276",1,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,3506 Westleigh Ave,89102
https://www.redfin.com/NV/Las-Vegas/1355-Douglas-Dr-89102/home/29458770,44,38,46,5,7,3,"1355 Douglas Dr,Las Vegas,NV89102","$500,000 ",4,2,"1,872",1953,Single Family Residential,$0 ,"7,841",0,TRUE,FALSE,Minimal,Minimal,Severe,Minimal,1355 Douglas Dr,89102
https://www.redfin.com/NV/Las-Vegas/2101-Plaza-del-Cerro-89102/home/29459184,60,38,49,5,7,3,"2101 Plaza Del Cerro,Las Vegas,NV89102","$655,000 ",3,2.5,"2,394",1975,Single Family Residential,$340 ,"6,098",2,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,2101 Plaza Del Cerro,89102
https://www.redfin.com/NV/Las-Vegas/2724-Miraflores-Ave-89102/home/29460615,57,39,57,5,7,3,"2724 Miraflores Ave,Las Vegas,NV89102","$450,000 ",3,2.5,"1,867",1983,Single Family Residential,$0 ,"6,098",2,TRUE,TRUE,Minimal,Minimal,Severe,Minimal,2724 Miraflores Ave,89102
https://www.redfin.com/NV/Las-Vegas/4557-Sirius-Ave-89102/home/29462921,72,40,55,4,4,3,"4557 Sirius Ave,Las Vegas,NV89102","$300,000 ",3,2.5,"1,365",1978,Townhouse,$195 ,"1,742",2,TRUE,FALSE,Minimal,Minimal,Severe,Minimal,4557 Sirius Ave,89102
https://www.redfin.com/NV/Las-Vegas/2616-Yardley-St-89102/home/29465095,48,38,41,4,4,3,"2616 Yardley St,Las Vegas,NV89102","$429,000 ",3,2,"1,570",1974,Single Family Residential,$0 ,"6,534",2,FALSE,TRUE,Minimal,Minimal,Severe,Minimal,2616 Yardley St,89102
https://www.redfin.com/NV/Las-Vegas/924-Vegas-Valley-Dr-89109/home/29465816,56,45,41,5,5,1,"924 Vegas Valley Dr,Las Vegas,NV89109","$585,000 ",2,2.5,"2,800",1971,Single Family Residential,$152 ,"4,792",2,TRUE,TRUE,Minimal,Minor,Severe,Minimal,924 Vegas Valley Dr,89109
